ID,dog_ID,friend_ID
a38bb563-42bc-4369-8c69-96654d119ffe,cc6b955b-ceda-4a85-aba8-e80e3e271bfa,f1bb3b27-b95b-40b0-9cf2-659e69d932bd
304a9de1-60af-4b51-a805-0dff34bef187,0aea1043-2ea1-4a4c-baba-5922f2e59654,bc47bc2d-2c0d-45c4-b435-a50e8f1cd179
534207de-9179-44a8-b933-d911a8bfe85f,0aea1043-2ea1-4a4c-baba-5922f2e59654,5aed653c-0974-4b37-ac85-97198594ac91
b4603272-5eb1-4539-be10-e3e7aab1ea3c,21a6708f-2aef-4e6b-b698-ef0d60febc99,1b4e46ae-54b5-471f-90b7-cd5ef933db70
b1651918-83e8-4b81-a46b-a35f8e34dbea,02eef5d5-9244-43b3-9935-7dbda3372d4c,ef07a207-2f30-400f-a9c3-89e8dccf1a2d
8c6f2476-bc34-45b8-8240-cec530940ce1,47319365-4216-40a5-9f7c-bf1173c2e84a,f28f7f20-c12f-4dc7-bb08-84f635ccaced
0ff0589d-09c0-49bb-a57e-2456a5523fdf,ad0e28c7-3edd-45b9-92b5-6818d25a907a,9f38743b-866b-4971-9a5c-0426468e7471
c5ef95f6-710a-4bbf-9ddb-c5dd0e368f3e,d313cf8e-14ff-4c4a-b5e5-f9db614f784c,153466a4-62af-41fd-b0e7-0d36d92047b7
5ebe6e66-c218-4af8-ad83-736f8312a03f,e0212a88-398c-41a5-a714-1f8d4d97f711,c5d03354-c2c8-415e-adc3-9be5dfce9cda
7c362ab4-8a26-4b42-9603-7be7641b3759,43c63ea7-83ce-49df-96a6-815df9d74769,030a5140-409b-46aa-bc23-3f3294baa9cb
a15ba541-c1c3-48d8-9cbf-8f99e866a7d6,5aed653c-0974-4b37-ac85-97198594ac91,7df5260e-ac48-45fc-be66-a68b23b4168a
04a43063-7e63-40c8-aa03-781d57209847,6114e615-d2a5-477d-b13a-497d72c7a2f6,9efe407f-1090-488c-8445-f7e1578f0772
fed4080c-d716-4c19-ab55-479a6ea68e6e,05d89310-a00f-4b83-bcd6-aa69d8bf18c4,a88de1a9-e379-41a5-94dd-532502328ace
475e2791-2473-45ff-8d92-fc7e50af1a1d,3ebeb0cb-df19-4748-a2b3-4be61f12791c,43c63ea7-83ce-49df-96a6-815df9d74769
4ab03ad6-6f94-4730-994c-db92c3ec1b82,179ca330-36d4-4856-9f65-6a021a9713c6,9f38743b-866b-4971-9a5c-0426468e7471
e0b14a8a-17a7-4b61-9d3e-8dab0a941bc3,eef26806-ae9b-44d0-b734-43fae3e1dc0e,1b4e46ae-54b5-471f-90b7-cd5ef933db70
2fea08b0-85ba-4ce9-a216-edaf30b45bbd,665cbe00-282a-4573-bfa7-73871105d4b8,616d4702-5f97-4221-a36b-24971c7da32d
cb07c852-6ee0-45de-bfdc-d74b9e63da96,79b7029a-4337-4964-944f-cf0d3d6b579f,fb6ff67a-fc55-4988-9c8f-8959ff68e12e
468ac66b-f9c8-48d8-93f9-0e6804c8cd45,f28f7f20-c12f-4dc7-bb08-84f635ccaced,b28bbdd5-8d45-40aa-9b6d-e9f9e446fac0
d8acfb61-a7c3-4bfd-8f44-d16b610df185,61b10704-6d04-4d9e-869e-a2d29c8baf82,0671fcf7-c92f-45b4-a524-f94496364510
d17fcec1-4e2b-41b4-bd50-1f3cc361d9ca,6cdae27e-6166-4c78-9971-69ea74d8a7e6,153466a4-62af-41fd-b0e7-0d36d92047b7
fe278a32-7f75-4753-8175-377be7215248,9f38743b-866b-4971-9a5c-0426468e7471,6cdae27e-6166-4c78-9971-69ea74d8a7e6
ed6032f4-576d-44eb-826d-dccf98ea7d94,bc47bc2d-2c0d-45c4-b435-a50e8f1cd179,7b00c070-85bb-4929-92c0-40046f1e8855
a3a30b39-7a5e-4762-9378-2c2a02afce5d,c5d03354-c2c8-415e-adc3-9be5dfce9cda,eef26806-ae9b-44d0-b734-43fae3e1dc0e
aa3a0c7c-eb83-4645-a5e4-886c00dfd7a9,1b4e46ae-54b5-471f-90b7-cd5ef933db70,66580f13-d7b8-4d06-8076-5cc1b6592fbe
7e909627-8d4c-42df-84e7-9772644800fd,6114e615-d2a5-477d-b13a-497d72c7a2f6,665cbe00-282a-4573-bfa7-73871105d4b8
348af2f3-a01b-4dd1-8b83-74796ac19faa,0e404f15-eeae-4718-99c7-bc3773a9a6ea,2a06b69c-caa7-4077-a769-be4483f9d8ed
a4f105db-082b-482e-828c-7a818127a41e,cc6b955b-ceda-4a85-aba8-e80e3e271bfa,bc47bc2d-2c0d-45c4-b435-a50e8f1cd179
00e58fd3-cec9-49ea-ac60-decaf51e59c7,7e18015f-c3e7-4642-ae2a-a8a4adf703b7,e40c7b07-8998-4852-9863-9789ff8a3997
